date,value
2024-10-01,0.5
2024-10-02,1.2
2024-10-03,2.8
2024-10-04,1.6
2024-10-05,0.3
2024-10-06,0.0
2024-10-07,0.8
2024-10-08,3.2
2024-10-09,4.5
2024-10-10,2.1
2024-10-11,1.4
2024-10-12,0.9
2024-10-13,0.2
2024-10-14,0.0
2024-10-15,1.5
2024-10-16,2.8
2024-10-17,3.6
2024-10-18,2.2
2024-10-19,1.1
2024-10-20,0.6
2024-10-21,0.0
2024-10-22,0.4
2024-10-23,1.8
2024-10-24,3.2
2024-10-25,4.8
2024-10-26,3.5
2024-10-27,2.1
2024-10-28,1.3
2024-10-29,0.7
2024-10-30,0.0
2024-10-31,0.5
2024-11-01,1.9
2024-11-02,2.6
2024-11-03,1.4
2024-11-04,0.8
2024-11-05,0.3
2024-11-06,0.0
2024-11-07,1.1
2024-11-08,2.4
2024-11-09,3.8
2024-11-10,2.9
2024-11-11,1.7
2024-11-12,0.9
2024-11-13,0.4
2024-11-14,0.0
2024-11-15,0.8
